,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,term_deposit
50,37,admin.,divorced,secondary,no,295,yes,yes,cellular,11,may,202,3,265,2,failure,no
51,38,technician,married,secondary,no,4030,yes,no,cellular,19,nov,75,2,177,5,failure,no
52,32,technician,single,tertiary,no,696,no,yes,cellular,13,aug,101,4,105,4,failure,no
53,32,blue-collar,married,primary,no,183,yes,no,cellular,9,feb,308,4,208,3,other,no
54,34,technician,married,secondary,no,118,yes,no,cellular,18,may,53,4,262,2,failure,no
55,31,blue-collar,single,secondary,no,609,yes,no,cellular,14,apr,1126,1,335,1,failure,no
56,53,blue-collar,married,secondary,no,3036,yes,no,cellular,21,nov,104,2,190,1,other,no
57,79,retired,married,secondary,no,909,no,no,cellular,25,sep,114,1,95,1,other,no
58,45,retired,married,secondary,no,900,yes,no,cellular,5,feb,508,4,266,4,other,no
59,37,unemployed,single,tertiary,no,1316,yes,no,cellular,18,nov,389,1,172,2,failure,no
60,35,services,married,secondary,no,586,yes,yes,cellular,17,apr,96,2,344,2,failure,no
61,52,services,married,secondary,no,-178,yes,yes,cellular,11,may,124,2,347,1,failure,no
62,31,management,married,secondary,no,0,no,no,cellular,29,jan,120,2,160,2,failure,no
63,32,blue-collar,married,primary,no,2085,yes,yes,cellular,20,nov,146,1,185,3,failure,no
64,56,entrepreneur,divorced,tertiary,no,151,yes,no,cellular,7,may,16,5,171,1,other,no
65,39,admin.,married,secondary,no,-982,yes,yes,cellular,19,nov,287,3,117,2,other,no
66,24,services,single,secondary,no,281,yes,no,cellular,8,may,211,2,337,3,other,no
67,35,admin.,married,secondary,no,3187,yes,no,cellular,19,nov,171,2,183,1,failure,no
68,33,technician,divorced,secondary,no,558,yes,no,cellular,21,nov,258,2,93,3,failure,no
69,37,technician,married,secondary,no,1345,yes,no,cellular,6,may,74,6,169,4,failure,no
70,47,admin.,single,secondary,no,3957,yes,no,telephone,11,may,58,3,334,3,other,no
71,59,retired,married,primary,no,866,no,yes,cellular,2,feb,88,1,208,1,other,no
72,42,admin.,single,secondary,no,400,yes,no,cellular,3,feb,198,5,244,6,failure,no
73,37,blue-collar,divorced,secondary,no,33,yes,no,cellular,20,nov,106,2,167,1,failure,no
74,38,services,married,secondary,no,4582,yes,no,telephone,16,apr,193,1,314,4,other,no
75,31,management,single,tertiary,no,6495,no,no,cellular,4,may,383,2,35,3,failure,no
76,44,blue-collar,married,primary,no,0,yes,yes,cellular,21,nov,32,2,116,3,other,no
77,37,blue-collar,married,secondary,no,539,yes,yes,cellular,17,apr,147,3,347,2,failure,no
78,69,retired,married,primary,no,324,no,no,cellular,12,aug,875,1,189,4,success,no
79,58,services,married,secondary,no,2745,yes,no,cellular,7,may,161,1,324,2,failure,no
80,41,technician,married,secondary,no,0,no,no,cellular,28,jan,411,2,156,8,other,no
81,31,services,single,secondary,no,122,yes,no,cellular,4,feb,157,4,268,2,failure,no
82,28,housemaid,married,secondary,yes,65,yes,yes,cellular,13,may,165,1,300,1,failure,no
83,31,blue-collar,married,primary,no,99,yes,no,cellular,17,apr,193,2,322,1,other,no
84,35,technician,married,secondary,no,128,no,yes,cellular,29,jan,456,1,205,2,other,no
85,41,housemaid,married,primary,no,322,no,no,cellular,7,may,105,1,324,2,failure,no
86,37,technician,married,secondary,no,318,no,no,cellular,7,aug,83,1,95,4,other,no
87,32,technician,married,secondary,no,3322,yes,no,cellular,5,feb,588,2,175,2,failure,no
88,38,technician,single,tertiary,no,744,yes,no,cellular,14,may,283,1,288,12,other,no
89,37,blue-collar,married,primary,no,89,yes,no,cellular,2,feb,393,1,245,4,failure,no
90,49,blue-collar,married,secondary,no,298,yes,no,cellular,30,apr,264,2,86,3,failure,no
91,48,technician,married,primary,no,1375,yes,yes,cellular,21,nov,73,1,172,2,failure,no
92,33,management,divorced,tertiary,no,312,yes,yes,cellular,13,may,23,1,359,3,failure,no
93,37,management,divorced,tertiary,no,0,yes,no,cellular,5,may,74,8,351,11,failure,no
94,59,management,married,primary,no,8334,no,no,cellular,17,dec,141,4,182,2,other,no
95,34,technician,married,secondary,no,272,yes,no,cellular,4,feb,287,1,201,2,failure,no
96,53,blue-collar,married,secondary,no,-76,no,no,cellular,29,jan,173,1,164,4,other,no
97,35,blue-collar,married,secondary,no,80,yes,yes,cellular,6,may,317,1,363,1,failure,no
98,34,admin.,married,secondary,no,50,yes,no,cellular,2,feb,173,1,258,2,failure,no
99,40,management,married,secondary,no,408,yes,no,cellular,8,may,80,1,322,4,failure,no
100,26,blue-collar,single,secondary,no,0,yes,no,cellular,28,jan,148,2,258,2,failure,no
101,31,management,married,tertiary,no,302,yes,yes,cellular,4,feb,181,1,257,1,failure,no
102,34,blue-collar,married,secondary,no,-53,yes,no,cellular,12,may,196,2,357,1,failure,no
103,27,technician,single,secondary,no,-211,yes,no,cellular,7,may,146,1,349,3,failure,no
104,36,blue-collar,married,primary,no,1993,yes,yes,cellular,13,may,174,1,359,2,other,no
105,27,blue-collar,single,secondary,no,539,yes,no,cellular,9,feb,268,5,252,2,failure,no
106,51,services,married,secondary,no,107,yes,no,telephone,13,may,99,2,369,4,failure,no
107,50,entrepreneur,married,tertiary,no,221,yes,no,cellular,20,apr,319,2,340,1,failure,no
108,39,blue-collar,married,secondary,no,747,yes,yes,cellular,19,nov,209,2,180,1,other,no
109,40,services,single,secondary,no,1547,yes,no,cellular,12,may,88,2,173,1,success,no
110,37,technician,married,tertiary,no,1733,yes,no,cellular,12,may,524,3,326,1,other,no
111,37,admin.,single,tertiary,no,2317,yes,no,cellular,20,apr,114,1,152,2,failure,no
112,38,blue-collar,married,secondary,no,13849,yes,no,cellular,9,apr,286,4,321,5,failure,no
113,53,blue-collar,married,secondary,no,380,yes,yes,cellular,6,may,42,1,302,1,failure,no
114,39,blue-collar,married,secondary,no,1403,no,no,cellular,11,may,214,8,326,2,failure,no
115,41,blue-collar,married,primary,no,5560,yes,no,cellular,12,may,280,2,335,3,failure,no
116,30,technician,married,secondary,no,239,yes,no,cellular,21,nov,302,2,95,8,failure,no
117,58,technician,married,secondary,no,0,yes,no,cellular,5,feb,1823,1,205,1,failure,no
118,55,management,divorced,tertiary,no,2625,yes,no,cellular,5,may,286,1,252,3,failure,no
119,29,blue-collar,single,primary,no,365,yes,yes,cellular,5,feb,72,1,274,2,failure,no
120,46,technician,married,secondary,no,-408,yes,yes,telephone,7,may,138,4,286,1,other,no
121,32,services,single,secondary,no,6857,no,no,cellular,6,aug,85,1,185,1,failure,no
122,40,technician,single,tertiary,no,47,yes,no,cellular,5,may,159,1,365,1,failure,no
123,39,technician,single,secondary,no,614,yes,no,cellular,2,feb,166,1,258,1,failure,no
124,39,self-employed,single,tertiary,no,2298,yes,yes,cellular,20,apr,13,2,319,18,other,no
125,32,services,single,tertiary,no,1743,yes,no,cellular,1,apr,1156,1,261,3,other,no
126,54,blue-collar,married,secondary,no,1777,yes,no,cellular,18,may,13,5,178,6,success,no
127,51,management,married,tertiary,no,248,yes,yes,cellular,17,nov,139,2,126,3,failure,no
128,52,retired,married,secondary,no,5423,no,yes,cellular,17,nov,93,1,115,1,failure,no
129,49,management,married,tertiary,no,6613,no,no,cellular,19,nov,106,1,155,3,failure,no
130,43,technician,married,secondary,no,0,no,yes,cellular,8,may,9,2,172,5,failure,no
131,53,retired,divorced,secondary,no,246,yes,no,cellular,29,jan,158,2,247,1,failure,no
132,33,admin.,married,secondary,no,2711,no,no,cellular,20,nov,184,1,104,1,failure,no
133,36,blue-collar,single,primary,no,109,yes,no,telephone,12,may,200,2,370,2,failure,no
134,58,blue-collar,married,secondary,no,1859,yes,no,cellular,18,may,277,2,264,5,failure,no
135,52,services,divorced,secondary,no,238,yes,no,cellular,6,may,101,1,362,5,other,no
136,33,technician,single,tertiary,no,1190,yes,no,cellular,17,apr,50,2,252,4,failure,no
137,54,retired,married,primary,no,136,yes,no,cellular,3,apr,352,1,332,2,failure,no
138,30,services,single,secondary,no,572,yes,no,cellular,5,may,237,1,319,4,other,no
139,40,retired,single,primary,no,-79,no,no,cellular,14,may,396,1,370,1,failure,no
140,31,management,single,tertiary,no,0,yes,no,cellular,7,may,45,1,22,2,failure,no
141,25,admin.,single,secondary,no,483,no,yes,cellular,30,apr,68,1,86,1,success,no
142,32,student,married,tertiary,no,744,yes,no,cellular,14,may,506,2,352,1,other,no
143,23,blue-collar,single,secondary,no,537,yes,no,cellular,7,may,172,1,353,2,other,no
144,32,management,single,tertiary,no,-307,yes,yes,cellular,7,may,447,2,346,2,failure,no
145,47,management,married,tertiary,no,0,yes,no,telephone,6,feb,138,4,9,2,other,no
146,34,technician,married,secondary,no,883,no,no,telephone,3,feb,166,2,173,3,failure,no
147,42,management,married,tertiary,no,72,yes,no,cellular,20,apr,124,2,348,3,failure,no
148,57,technician,divorced,secondary,no,99,yes,no,cellular,11,may,133,2,370,2,failure,no
149,41,admin.,married,secondary,no,158,yes,no,cellular,1,oct,250,2,120,4,other,no
150,33,housemaid,single,tertiary,no,23663,yes,no,cellular,16,apr,199,2,146,2,failure,no
151,30,services,single,secondary,no,177,yes,no,cellular,18,may,187,4,356,2,other,no
152,33,entrepreneur,married,secondary,no,2,yes,yes,cellular,19,nov,17,5,198,1,failure,no
153,30,management,single,tertiary,no,638,yes,no,cellular,20,apr,483,2,291,6,other,no
154,56,technician,married,secondary,no,2313,yes,no,cellular,8,may,293,3,364,2,failure,no
155,24,student,single,secondary,no,228,no,no,cellular,20,aug,99,1,79,1,failure,no
156,33,self-employed,single,tertiary,no,1354,yes,no,cellular,16,apr,270,1,147,2,failure,no
157,33,technician,single,tertiary,no,179,yes,no,cellular,18,nov,432,2,181,4,other,no
158,55,technician,married,tertiary,no,639,yes,no,telephone,13,may,992,5,370,3,other,no
159,50,management,single,tertiary,no,567,yes,no,cellular,29,jan,50,1,258,8,failure,no
160,53,admin.,single,primary,no,0,yes,no,cellular,7,may,176,1,322,5,other,no
161,59,services,married,secondary,no,0,yes,no,telephone,11,may,437,2,361,5,failure,no
162,38,entrepreneur,married,secondary,no,351,yes,no,cellular,4,feb,112,1,244,3,failure,no
163,32,technician,married,secondary,no,-292,yes,yes,cellular,15,apr,301,1,316,1,failure,no
164,32,management,single,tertiary,no,0,yes,no,cellular,18,nov,244,2,168,1,other,no
165,33,technician,single,tertiary,no,390,yes,no,cellular,3,feb,161,1,256,1,failure,no
166,27,self-employed,divorced,secondary,no,165,yes,no,cellular,6,feb,1160,2,192,4,failure,no
167,45,blue-collar,married,primary,no,353,yes,no,cellular,12,may,204,1,364,1,failure,no
168,38,admin.,divorced,secondary,no,673,yes,no,cellular,7,may,429,1,170,3,other,no
169,51,management,single,tertiary,yes,-55,yes,no,cellular,11,may,281,2,266,6,failure,no
170,39,technician,married,secondary,no,508,yes,no,cellular,2,apr,598,2,135,5,failure,no
171,38,blue-collar,divorced,secondary,no,316,yes,no,cellular,28,jan,223,1,247,2,success,no
172,35,management,divorced,tertiary,no,538,yes,no,cellular,21,nov,109,2,193,4,failure,no
173,34,blue-collar,married,secondary,no,-10,yes,no,cellular,11,may,216,1,370,1,failure,no
174,42,services,married,secondary,no,108,yes,yes,cellular,13,may,225,2,365,7,failure,no
175,34,management,married,tertiary,no,11,yes,no,cellular,17,apr,22,1,150,2,failure,no
176,32,technician,single,secondary,no,1819,yes,no,cellular,20,apr,62,1,340,2,failure,no
177,46,technician,married,tertiary,no,31630,no,no,cellular,30,nov,448,2,214,1,failure,no
178,73,retired,married,primary,no,9160,no,no,cellular,11,nov,516,2,90,3,other,no
179,31,technician,single,secondary,no,579,yes,yes,cellular,17,apr,469,3,322,15,other,no
180,50,self-employed,single,tertiary,no,21,yes,no,cellular,18,nov,157,1,188,1,failure,no
181,38,management,single,tertiary,no,493,yes,no,cellular,11,may,553,1,367,7,failure,no
182,57,technician,married,secondary,no,225,yes,no,telephone,15,may,22,7,337,12,failure,no
183,35,management,single,tertiary,no,-146,yes,no,cellular,14,may,279,1,266,1,failure,no
184,25,admin.,single,secondary,no,1235,yes,yes,cellular,14,may,64,1,349,3,failure,no
185,35,unemployed,single,secondary,no,9,yes,no,cellular,13,may,84,2,364,2,failure,no
186,54,self-employed,divorced,tertiary,no,1323,no,no,cellular,19,nov,83,1,152,4,failure,no
187,30,management,single,tertiary,no,0,yes,no,cellular,5,may,381,1,342,7,failure,no
188,41,retired,single,primary,no,0,no,no,cellular,8,may,239,1,368,2,failure,no
189,27,management,single,tertiary,no,390,no,no,cellular,28,oct,190,1,82,1,success,no
190,38,management,single,tertiary,no,35,yes,no,cellular,17,apr,156,1,273,3,failure,no
191,37,services,single,tertiary,no,72,yes,no,cellular,13,may,98,2,370,1,failure,no
192,27,management,single,tertiary,no,1081,no,yes,cellular,30,jan,158,3,206,2,other,no
193,46,services,married,secondary,no,561,yes,no,cellular,9,feb,84,4,256,7,failure,no
194,35,blue-collar,married,secondary,no,911,yes,no,cellular,20,nov,434,2,181,5,other,no
195,35,services,married,secondary,no,0,yes,no,cellular,6,may,343,3,351,1,failure,no
196,44,management,single,tertiary,no,1356,no,yes,cellular,18,nov,264,2,134,2,other,no
197,39,management,divorced,tertiary,no,155,yes,no,cellular,20,nov,20,6,153,26,failure,no
198,47,technician,married,secondary,no,332,yes,no,cellular,2,feb,276,1,269,1,success,no
199,29,services,married,secondary,no,376,no,yes,telephone,28,jan,49,3,183,4,failure,no
200,30,admin.,single,secondary,no,2802,no,yes,telephone,18,nov,285,2,137,2,failure,no
201,49,management,married,tertiary,no,15,no,no,cellular,30,jan,166,3,2,2,other,no
202,43,admin.,single,secondary,no,309,yes,no,telephone,6,feb,24,5,276,1,other,no
203,34,management,single,tertiary,no,0,yes,yes,cellular,26,may,197,2,98,1,other,no
204,46,management,married,tertiary,no,-191,yes,no,cellular,5,feb,674,3,202,3,failure,no
205,29,services,single,secondary,no,79,yes,no,cellular,6,may,811,1,334,3,other,no
206,31,management,single,tertiary,no,1130,yes,no,cellular,2,feb,181,1,264,3,failure,no
207,43,blue-collar,married,primary,no,-98,yes,yes,cellular,12,may,112,2,330,3,other,no
208,53,management,married,tertiary,no,34230,yes,yes,cellular,7,may,279,1,358,9,other,no
209,38,blue-collar,married,secondary,no,6994,yes,no,telephone,8,apr,169,1,139,2,failure,no
210,33,entrepreneur,married,secondary,no,1996,yes,no,cellular,15,may,72,2,178,1,failure,no
211,54,technician,married,secondary,no,899,no,yes,cellular,17,nov,61,1,145,1,other,no
212,40,services,divorced,secondary,no,5766,yes,yes,cellular,17,nov,68,2,173,1,failure,no
213,35,management,single,secondary,no,356,yes,no,cellular,21,nov,20,5,114,7,failure,no
214,41,blue-collar,married,secondary,no,-217,yes,no,cellular,11,may,313,1,349,3,other,no
215,46,management,married,secondary,no,21,yes,no,cellular,7,may,124,1,338,2,failure,no
216,52,technician,married,secondary,no,337,yes,no,cellular,8,may,247,1,261,4,failure,no
217,34,self-employed,married,secondary,no,47,no,no,cellular,4,feb,362,2,169,2,failure,no
218,31,self-employed,single,tertiary,no,1815,no,no,telephone,30,apr,107,1,80,1,success,no
219,35,management,married,tertiary,no,354,no,yes,cellular,9,feb,117,4,12,2,other,no
220,35,services,married,secondary,no,372,yes,no,cellular,17,apr,202,2,280,1,failure,no
221,37,admin.,single,secondary,no,262,no,no,cellular,7,aug,305,1,179,5,other,no
222,26,management,single,tertiary,no,2506,no,no,cellular,28,may,210,2,100,1,success,no
223,37,technician,married,secondary,no,64,yes,no,cellular,12,may,239,4,278,2,other,no
224,27,management,single,tertiary,no,7944,yes,no,cellular,15,may,99,3,346,1,other,no
225,38,blue-collar,married,primary,no,5643,yes,no,cellular,18,may,106,2,362,1,failure,no
226,52,management,married,secondary,no,596,yes,no,cellular,29,jan,113,1,188,1,other,no
227,45,management,married,tertiary,no,3857,yes,no,cellular,11,aug,425,2,190,1,failure,no
228,40,admin.,married,tertiary,no,1108,no,no,cellular,26,oct,61,2,76,3,failure,no
229,31,management,single,tertiary,no,3967,yes,no,cellular,21,nov,859,1,182,1,failure,no
230,24,admin.,single,secondary,no,5,no,no,cellular,7,apr,66,1,330,1,failure,no
231,50,management,married,tertiary,no,101,yes,no,cellular,6,apr,43,2,326,1,failure,no
232,43,entrepreneur,divorced,secondary,no,3780,yes,no,cellular,9,jun,67,2,202,3,failure,no
233,35,technician,married,secondary,no,222,yes,no,cellular,14,may,165,5,177,7,failure,no
234,33,self-employed,married,tertiary,no,210,yes,no,cellular,5,may,84,1,167,1,failure,no
235,53,blue-collar,married,primary,no,-211,yes,yes,cellular,3,feb,195,6,251,2,failure,no
236,32,blue-collar,single,secondary,no,2696,yes,no,cellular,20,nov,564,2,183,1,failure,no
237,24,technician,single,tertiary,no,10,yes,no,cellular,18,may,78,2,367,2,other,no
238,30,blue-collar,married,primary,no,1101,yes,yes,cellular,2,jul,590,1,225,3,failure,no
239,43,self-employed,married,secondary,no,634,yes,no,cellular,17,nov,65,1,131,1,failure,no
240,37,management,single,tertiary,no,4543,yes,no,cellular,8,may,137,1,340,5,failure,no
241,44,management,divorced,tertiary,no,388,yes,no,telephone,13,may,246,2,370,2,success,no
242,30,blue-collar,married,secondary,no,578,yes,yes,cellular,17,apr,71,2,317,1,failure,no
243,55,technician,single,secondary,no,1199,no,yes,telephone,11,aug,91,1,99,10,failure,no
244,36,technician,single,tertiary,no,470,yes,no,cellular,16,apr,123,3,265,13,success,no
245,32,housemaid,married,primary,no,-184,yes,no,cellular,6,feb,129,2,197,1,failure,no
246,42,services,divorced,secondary,no,83,no,no,cellular,13,may,300,5,358,6,failure,no
247,59,unemployed,divorced,secondary,no,2026,no,no,cellular,14,aug,185,3,73,1,failure,no
248,31,self-employed,married,secondary,no,131,yes,no,cellular,13,may,294,1,370,1,failure,no
249,38,blue-collar,married,secondary,no,67,no,no,cellular,28,jan,74,1,239,2,failure,no
250,50,blue-collar,married,primary,no,0,yes,no,cellular,13,may,131,1,364,2,failure,no
251,33,blue-collar,married,primary,no,1064,yes,no,cellular,7,apr,311,1,330,1,failure,no
252,36,services,married,secondary,no,-182,yes,yes,cellular,8,may,19,6,304,11,other,no
253,54,housemaid,married,secondary,no,736,yes,no,cellular,16,apr,268,1,331,1,failure,no
254,39,technician,married,tertiary,no,11766,yes,no,cellular,4,may,15,4,166,1,failure,no
255,31,blue-collar,married,secondary,no,1078,yes,no,cellular,13,may,248,1,330,3,other,no
256,26,student,single,tertiary,no,641,yes,no,cellular,15,may,55,1,368,1,failure,no
257,26,admin.,single,tertiary,no,2170,yes,no,cellular,26,may,81,1,29,1,failure,no
258,25,management,single,tertiary,no,553,yes,no,cellular,17,sep,113,4,479,1,failure,no
259,39,blue-collar,married,primary,no,467,yes,no,cellular,16,apr,232,1,335,1,failure,no
260,26,services,single,secondary,no,5533,yes,no,cellular,7,may,582,2,283,4,failure,no
261,46,blue-collar,married,primary,no,147,yes,no,cellular,6,may,116,2,169,3,failure,no
262,37,blue-collar,married,secondary,no,520,yes,no,cellular,2,feb,54,1,255,2,failure,no
263,37,blue-collar,married,secondary,no,-251,yes,no,cellular,12,may,146,3,370,1,failure,no
264,29,technician,single,secondary,no,382,no,no,cellular,27,aug,64,3,202,3,other,no
265,50,admin.,married,primary,no,458,yes,no,cellular,6,may,116,2,363,1,failure,no
266,55,services,divorced,primary,no,2923,yes,no,cellular,29,jan,94,1,259,2,failure,no
267,50,services,married,secondary,no,2420,yes,no,cellular,20,apr,102,6,235,13,failure,no
268,46,technician,married,secondary,no,388,no,no,cellular,4,feb,6,9,7,1,other,no
269,35,management,married,tertiary,no,0,yes,no,cellular,7,apr,139,1,243,2,other,no
270,59,housemaid,married,secondary,no,0,no,no,telephone,7,aug,107,2,63,1,failure,no
271,40,management,married,tertiary,no,7780,no,no,telephone,4,may,364,1,355,1,other,no
272,37,services,married,secondary,no,343,yes,yes,cellular,7,may,104,1,304,7,failure,no
273,43,entrepreneur,single,primary,no,103,yes,no,cellular,18,nov,53,1,183,5,failure,no
274,54,management,divorced,tertiary,no,0,yes,no,cellular,7,may,199,1,297,3,failure,no
275,43,technician,divorced,secondary,no,0,yes,no,cellular,5,may,150,2,342,2,failure,no
276,28,services,single,secondary,no,805,yes,no,cellular,7,may,148,5,336,7,other,no
277,32,technician,single,tertiary,no,696,no,yes,cellular,30,apr,270,2,293,2,failure,no
278,49,management,divorced,tertiary,no,20727,no,no,cellular,1,apr,285,3,132,2,failure,no
279,25,management,single,tertiary,no,2305,no,no,cellular,12,aug,222,2,104,2,failure,no
280,29,technician,single,secondary,no,-219,yes,no,cellular,15,may,85,3,368,2,failure,no
281,32,technician,married,secondary,no,580,yes,no,cellular,18,may,8,4,279,2,other,no
282,40,self-employed,married,secondary,no,31,yes,no,cellular,16,apr,174,2,147,6,failure,no
283,40,entrepreneur,married,tertiary,no,2644,yes,no,cellular,21,nov,110,2,185,1,failure,no
284,60,blue-collar,married,primary,no,38,yes,no,cellular,15,may,109,11,373,1,other,no
285,30,technician,single,secondary,no,3313,yes,no,telephone,20,apr,534,3,319,3,failure,no
286,38,management,single,tertiary,no,1515,yes,no,cellular,18,nov,134,1,110,5,failure,no
287,42,blue-collar,married,primary,no,191,yes,no,telephone,14,may,382,3,371,1,failure,no
288,34,technician,single,tertiary,no,586,yes,no,cellular,3,feb,43,5,263,2,failure,no
289,42,admin.,single,secondary,no,-247,yes,yes,cellular,18,nov,104,2,28,2,success,no
290,42,services,married,secondary,no,714,yes,yes,cellular,8,may,211,1,358,5,failure,no
291,36,unemployed,married,tertiary,no,7222,yes,no,cellular,4,nov,116,4,154,1,failure,no
292,55,management,married,tertiary,no,154,no,no,telephone,11,may,70,2,367,3,failure,no
293,26,student,single,secondary,no,1608,no,no,cellular,10,aug,89,2,102,2,success,no
294,36,technician,married,secondary,no,6384,yes,yes,cellular,27,feb,59,1,101,1,failure,no
295,41,blue-collar,married,secondary,no,598,yes,no,cellular,12,may,69,3,364,11,failure,no
296,52,management,married,tertiary,no,1355,yes,no,cellular,30,jan,131,1,241,1,failure,no
297,29,technician,married,secondary,no,655,yes,no,cellular,3,feb,225,3,270,2,failure,no
298,42,services,married,secondary,no,1027,yes,no,telephone,16,apr,63,2,150,4,failure,no
299,40,entrepreneur,married,tertiary,no,2310,yes,yes,cellular,8,apr,120,1,294,1,failure,no
300,27,entrepreneur,single,tertiary,no,81,no,no,cellular,5,feb,197,1,199,3,failure,no
301,33,management,single,tertiary,no,1423,yes,no,cellular,16,apr,633,3,248,2,other,no
302,42,blue-collar,married,primary,no,-571,yes,yes,telephone,21,nov,136,2,179,4,failure,no
303,41,admin.,divorced,secondary,no,4,yes,no,cellular,5,feb,232,1,211,1,failure,no
304,36,blue-collar,married,secondary,no,153,yes,no,cellular,8,may,263,1,171,2,failure,no
305,36,management,single,tertiary,no,4788,yes,no,cellular,16,apr,241,2,317,1,failure,no
306,43,technician,divorced,secondary,no,305,yes,no,cellular,5,may,674,2,250,4,failure,no
307,26,technician,single,tertiary,no,172,no,yes,telephone,4,nov,21,1,140,4,other,no
308,41,blue-collar,divorced,secondary,no,-333,yes,no,cellular,30,jan,118,3,270,2,failure,no
309,36,management,single,tertiary,no,219,no,no,cellular,3,feb,22,6,196,6,failure,no
